price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,sale_year,sale_month,is_renovated,city_encoded,statezip_encoded,house_age,basement_ratio,living_lot_ratio
313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2014,5,1,408755.836753126,374433.23297491396,70,0.0,0.1693415897889549
1154353.57142825,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,1921,2014,5,0,550670.5999431518,791418.0029153929,104,0.07669131744727473,0.4032703568666446
342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,1966,2014,5,0,303643.78169211006,316110.7186588903,59,0.0,0.16153331101439572
420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,2014,5,0,763990.8555752678,584191.994047599,62,0.49975012493753124,0.24903498941601296
550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,1976,2014,5,1,657582.2180638936,632879.4759810333,49,0.4121586810922205,0.18474431006570802
490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,1938,2014,5,1,550670.5999431518,594328.8892580175,87,0.0,0.13790941858642847
335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,1976,2014,5,0,657582.2180638936,632879.4759810333,49,0.0,0.5271378367825068
482000.0,4.0,2.5,2710,19945,2.0,0,0,3,2710,0,1989,2014,5,0,340016.7529824526,340016.7529824526,36,0.0,0.13586684046926703
452500.0,3.0,2.5,2430,19945,1.0,0,0,4,1570,860,1985,2014,5,0,399565.70666666003,399565.70666666003,40,0.3537638831756479,0.12182893813295899
640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2014,5,1,550670.5999431518,594328.8892580175,80,0.0,0.24512175455571683
463000.0,3.0,1.75,1710,7320,1.0,0,0,3,1710,0,1948,2014,5,1,474855.8823529412,388005.31136951165,77,0.0,0.23357464827209398
1154353.57142825,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,2014,5,1,550670.5999431518,815784.0486110104,116,0.3457719958918179,0.7298175456135966
588500.0,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,1980,2014,5,0,688928.9179842412,637895.2114325266,45,0.15444015444015444,0.15644933861545693
365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,1955,2014,5,1,550670.5999431518,297214.6464646515,70,0.0,0.16935985083903046
1154353.57142825,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,1939,2014,5,1,550670.5999431518,815784.0486110104,86,0.0,0.30692964877122664
242500.0,3.0,1.5,1200,9720,1.0,0,0,4,1200,0,1965,2014,5,0,303643.78169211006,316110.7186588903,60,0.0,0.12344409011418578
419000.0,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,1956,2014,5,0,763990.8555752678,653957.5501252961,69,0.0,0.23429338904641098
367500.0,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,1997,2014,5,0,301050.9595813714,357123.6652102891,28,0.0,0.430033185840708
257950.0,3.0,1.75,1370,5858,1.0,0,0,3,1370,0,1987,2014,5,1,304992.54679803445,307774.4234693929,38,0.0,0.23382829834442737
275000.0,3.0,1.5,1180,10277,1.0,0,0,3,1180,0,1983,2014,5,1,399565.70666666003,399565.70666666003,42,0.0,0.11480832846857365
750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,1923,2014,5,0,550670.5999431518,594328.8892580175,102,0.3078982597054886,0.21174024009830797
435000.0,4.0,1.0,1450,8800,1.0,0,0,4,1450,0,1954,2014,5,1,763990.8555752678,765229.862712922,71,0.0,0.1647540052266788
626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,2005,2014,5,0,550670.5999431518,686805.9627328913,20,0.1599086236436322,1.112523839796567
612500.0,4.0,2.5,2730,12261,2.0,0,0,3,2730,0,1991,2014,5,0,481441.8939393939,483518.203125,34,0.0,0.22263904746370902
495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,1959,2014,5,1,550670.5999431518,441490.3814935028,66,0.29356652092442226,0.2507443974298699
285000.0,3.0,2.5,2090,10834,1.0,0,0,4,1360,730,1987,2014,5,0,295885.3806239655,299425.625,38,0.34911525585844094,0.19289340101522842
615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,2014,5,0,550670.5999431518,531576.523596933,77,0.4235493434985176,0.3236423477783873
698000.0,4.0,2.25,2200,11250,1.5,0,0,5,1300,900,1920,2014,5,0,618708.9356819505,768072.3507222752,105,0.408905043162199,0.19553817438449916
675000.0,5.0,2.5,2820,19945,2.0,0,0,3,2820,0,1979,2014,5,1,587133.2983444234,604473.7604617557,46,0.0,0.1413817306728166
790000.0,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,1951,2014,5,1,550670.5999431518,560064.3105027633,74,0.3460207612456747,0.5472532098505578
382500.0,4.0,1.75,1560,8700,1.0,0,0,4,1560,0,1967,2014,5,0,618708.9356819505,482476.0783660833,58,0.0,0.1792897368118607
499950.0,4.0,2.5,2860,3345,2.0,0,0,3,2190,670,2004,2014,5,1,608516.1246867083,577522.1768707382,21,0.2341838518000699,0.8547519426180514
650000.0,4.0,2.0,1820,5000,1.5,0,1,3,1640,180,1945,2014,5,1,550670.5999431518,594328.8892580175,80,0.09884678747940692,0.3639272145570886
625000.0,4.0,2.5,2820,8408,2.0,0,0,3,2820,0,2014,2014,5,0,408755.836753126,388005.31136951165,11,0.0,0.3353549768105601
400000.0,4.0,2.5,3630,19945,1.5,0,0,3,2300,1330,1979,2014,5,1,301050.9595813714,357123.6652102891,46,0.3662902781602864,0.18199137671713628
604000.0,3.0,2.5,3240,19945,2.0,0,2,3,3240,0,1995,2014,5,0,295885.3806239655,293485.0450588709,30,0.0,0.16243858417727866
440000.0,2.0,1.0,800,4850,1.0,0,0,4,800,0,1944,2014,5,0,550670.5999431518,549917.4753694526,81,0.0,0.16491445062873633
287200.0,3.0,3.0,1850,19945,1.0,0,0,4,1090,760,1992,2014,5,0,340016.7529824526,340016.7529824526,33,0.4105888708806051,0.09275042615060664
403000.0,3.0,2.0,1960,13100,1.0,0,2,5,1650,310,1957,2014,5,0,527478.1512604853,447007.74784182897,68,0.1580826109127996,0.14960690023662315
750000.0,3.0,2.5,2390,6550,1.0,0,2,4,1440,950,1955,2014,5,1,550670.5999431518,626077.6164434375,70,0.397323295692179,0.3648297969775607
335000.0,3.0,2.25,1580,16215,1.0,0,0,4,1580,0,1978,2014,5,1,616200.6493505909,616200.6493505909,47,0.0,0.09743463246176616
260000.0,4.0,2.0,1480,8625,1.0,0,0,4,1480,0,1974,2014,5,0,379632.31317664264,327850.0,51,0.0,0.17157431022490147
308500.0,2.0,1.0,850,6174,1.0,0,0,4,850,0,1950,2014,5,1,408755.836753126,388005.31136951165,75,0.0,0.13765182186234817
439950.0,3.0,2.5,1770,2875,2.0,0,0,3,1770,0,1990,2014,5,1,550670.5999431518,626077.6164434375,35,0.0,0.6154381084840056
235000.0,2.0,1.0,1210,9400,1.0,0,0,2,1210,0,1949,2014,5,0,550670.5999431518,297214.6464646515,76,0.0,0.12870971173279439
315000.0,3.0,1.0,1160,9180,1.0,0,0,3,1160,0,1968,2014,5,1,608516.1246867083,646802.7661064363,57,0.0,0.12634789238645028
437500.0,3.0,2.25,1970,19945,2.0,0,0,4,1970,0,1977,2014,5,0,587133.2983444234,570743.1849624026,48,0.0,0.09876667000902437
407500.0,3.0,2.5,1930,10460,2.0,0,0,3,1930,0,1996,2014,5,0,379632.31317664264,498594.5167383727,29,0.0,0.18449479017302362
445700.0,3.0,2.5,1270,1180,3.0,0,0,3,1270,0,2001,2014,5,0,550670.5999431518,549917.4753694526,24,0.0,1.0753598645215918
838000.0,4.0,2.5,3310,19945,2.0,0,0,3,3310,0,2001,2014,5,0,657582.2180638936,632879.4759810333,24,0.0,0.16594805976135565
630000.0,4.0,2.75,2710,19945,2.0,0,0,3,2710,0,2000,2014,5,0,587133.2983444234,570743.1849624026,25,0.0,0.13586684046926703
550000.0,3.0,1.75,2910,19945,1.5,0,0,3,2910,0,1979,2014,5,1,688928.9179842412,744673.1109835091,46,0.0,0.1458939135666299
805000.0,3.0,2.0,2710,4500,1.5,0,0,4,1880,830,1929,2014,5,0,550670.5999431518,594328.8892580175,96,0.30616008852821835,0.6020884247944901
284000.0,3.0,1.75,1800,19945,1.0,0,0,3,1800,0,1968,2014,5,1,484858.93506492046,484858.93506492046,57,0.0,0.09024365787626591
470000.0,5.0,2.5,2210,9655,1.0,0,0,3,1460,750,1976,2014,5,0,481441.8939393939,483518.203125,49,0.33921302578018997,0.22887323943661972
430000.0,4.0,1.5,1920,10000,1.0,0,0,4,1070,850,1954,2014,5,1,763990.8555752678,765229.862712922,71,0.4424778761061947,0.19198080191980801
491500.0,4.0,1.75,2190,19945,1.0,0,2,3,2190,0,1968,2014,5,1,301050.9595813714,357123.6652102891,57,0.0,0.10979645041612353
785000.0,5.0,3.25,3660,11995,2.0,0,2,3,3660,0,2006,2014,5,0,551850.3768115942,551850.3768115942,19,0.0,0.3051017005668556
385000.0,3.0,3.25,1320,1327,2.0,0,0,3,1040,280,2008,2014,5,0,550670.5999431518,735275.448471862,17,0.21196063588190764,0.9939759036144579
295000.0,2.0,2.5,1630,1368,2.0,0,0,3,1280,350,2009,2014,5,0,550670.5999431518,297214.6464646515,16,0.2145922746781116,1.1906501095690285
555000.0,4.0,2.5,3310,6500,2.0,0,0,3,3310,0,2012,2014,5,1,551850.3768115942,551850.3768115942,13,0.0,0.5091524380864483
459990.0,3.0,2.5,2680,5539,2.0,0,0,3,2680,0,2013,2014,5,1,399565.70666666003,399565.70666666003,12,0.0,0.48375451263537905
625000.0,4.0,3.25,2730,19945,1.0,0,0,3,1560,1170,2007,2014,5,0,379632.31317664264,498594.5167383727,18,0.42841450018308314,0.13686954777900331
300000.0,3.0,2.5,2540,5050,2.0,0,0,3,2540,0,2006,2014,5,0,303643.78169211006,316110.7186588903,19,0.0,0.5028707186695703
625000.0,4.0,2.75,2920,6605,2.0,0,0,3,2920,0,2012,2014,5,1,379632.31317664264,498594.5167383727,13,0.0,0.4420224038752649
553000.0,2.0,1.0,900,5000,1.0,0,0,3,900,0,1944,2014,5,0,550670.5999431518,560064.3105027633,81,0.0,0.1799640071985603
