Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,WeekOfYear,Fuel_CPI_Ratio,Unemp_Temp_Interaction,Holiday_Week_Interaction
1,2010-05-02,1643690.9,0,42.31,2.572,211.0963582,8.106,2010.0,5.0,17,0.01218400928252485,342.96486,0
1,2010-12-02,1641957.44,0,38.51,2.548,211.2421698,8.106,2010.0,12.0,48,0.012061985494422878,312.16206,0
1,,1611968.17,0,39.93,2.514,211.2891429,8.106,,,,0.01189838698570258,323.67258,0
1,,1409727.59,0,46.63,2.561,211.3196429,8.106,,,,0.012119081561636116,377.98278,0
1,2010-05-03,1554806.68,0,46.5,2.625,211.3501429,8.106,2010.0,5.0,18,0.012420147682709952,376.929,0
1,2010-12-03,1439541.59,0,57.79,2.667,211.3806429,8.106,2010.0,12.0,48,0.012617049275626697,468.44574,0
1,,1472515.79,0,54.58,2.72,211.215635,8.106,,,,0.012877834480019274,442.42548,0
1,,1404429.92,0,51.45,2.732,211.0180424,8.106,,,,0.012946760172642185,417.0537,0
1,2010-02-04,1594968.28,0,62.27,2.719,210.8204499,7.808,2010.0,2.0,5,0.01289723074015112,486.20416,0
1,2010-09-04,1545418.53,0,65.86,2.77,210.6228574,7.808,2010.0,9.0,35,0.013151469033524427,514.23488,0
1,,1466058.28,0,66.32,2.808,210.4887,7.808,,,,0.01334038352966034,517.82656,0
1,,1391256.12,0,64.84,2.795,210.4391228,7.808,,,,0.013281750795809006,506.27072000000004,0
1,,1425100.71,0,67.41,2.78,210.3895456,7.808,,,,0.013213584253239699,526.33728,0
1,2010-07-05,1603955.12,0,72.55,2.835,210.3399684,7.808,2010.0,7.0,27,0.013478180148484894,566.4703999999999,0
1,,1494251.5,0,74.78,2.854,210.3374261,7.808,,,,0.013568674103078826,583.88224,0
1,,1399662.07,0,76.44,2.826,210.6170934,7.808,,,,0.013417714303060864,596.84352,0
1,,1432069.95,0,80.44,2.759,210.8967606,7.808,,,,0.01308223027735671,628.07552,0
1,2010-04-06,1615524.71,0,80.69,2.705,211.1764278,7.808,2010.0,4.0,14,0.012809194735279092,630.02752,0
1,2010-11-06,1542561.09,0,80.43,2.668,211.4560951,7.808,2010.0,11.0,44,0.012617276348175239,627.99744,0
1,,1503284.06,0,84.11,2.637,211.4537719,7.808,,,,0.01247081082467647,656.73088,0
1,,1422711.6,0,84.34,2.653,211.3386526,7.808,,,,0.0125533117335995,658.5267200000001,0
1,2010-02-07,1492418.14,0,80.91,2.669,211.2235333,7.787,2010.0,2.0,5,0.012635902570445721,630.04617,0
1,2010-09-07,1546074.18,0,80.48,2.642,211.108414,7.787,2010.0,9.0,36,0.01251489667050932,626.69776,0
1,,1448938.92,0,83.15,2.623,211.1003854,7.787,,,,0.012425368066498245,647.48905,0
1,,1385065.2,0,83.36,2.608,211.2351443,7.787,,,,0.012346430307778902,649.12432,0
1,,1371986.6,0,81.84,2.64,211.3699032,7.787,,,,0.012489952200110805,637.28808,0
1,2010-06-08,1605491.78,0,87.16,2.627,211.5046621,7.787,2010.0,6.0,23,0.01242052993771559,678.71492,0
1,,1508237.76,0,87.0,2.692,211.6394211,7.787,,,,0.012719747452003652,677.4689999999999,0
1,,1513080.49,0,86.65,2.664,211.6033633,7.787,,,,0.012589591894309972,674.74355,0
1,,1449142.92,0,85.22,2.619,211.5673056,7.787,,,,0.012379039285836427,663.6081399999999,0
1,2010-03-09,1540163.53,0,81.21,2.577,211.5312479,7.787,2010.0,3.0,10,0.01218259719734487,632.38227,0
1,2010-10-09,1507460.69,0,78.69,2.565,211.4951902,7.787,2010.0,10.0,40,0.012127935323004166,612.7590299999999,0
1,,1430378.67,0,82.11,2.582,211.5224596,7.787,,,,0.012206741509511355,639.39057,0
1,,1351791.03,0,80.94,2.624,211.5972246,7.787,,,,0.012400918738700136,630.27978,0
1,2010-01-10,1453329.5,0,71.89,2.603,211.6719895,7.838,2010.0,1.0,1,0.012297328493256647,563.47382,0
1,2010-08-10,1508239.93,0,63.93,2.633,211.7467544,7.838,2010.0,8.0,32,0.012434665150009662,501.08334,0
1,,1459409.1,0,67.18,2.72,211.8137436,7.838,,,,0.012841470722953264,526.5568400000001,0
1,,1345454.0,0,69.86,2.725,211.8612937,7.838,,,,0.01286218893289903,547.56268,0
1,,1384209.22,0,69.64,2.716,211.9088438,7.838,,,,0.012816831702156493,545.83832,0
1,2010-05-11,1551659.28,0,58.74,2.689,211.9563939,7.838,2010.0,5.0,19,0.012686571694468842,460.40412000000003,0
1,2010-12-11,1494479.49,0,59.61,2.728,212.003944,7.838,2010.0,12.0,49,0.01286768508010547,467.22318,0
1,,1483784.18,0,51.41,2.771,211.8896737,7.838,,,,0.013077560310209867,402.95158,0
1,,1955624.11,0,64.52,2.735,211.7484333,7.838,,,,0.01291627023850915,505.70775999999995,0
1,2010-03-12,1548033.78,0,49.27,2.708,211.607193,7.838,2010.0,3.0,10,0.012797296485109104,386.17826,0
1,2010-10-12,1682614.26,0,46.33,2.843,211.4659526,7.838,2010.0,10.0,41,0.0134442445774401,363.13454,0
1,,1891034.93,0,49.84,2.869,211.4053124,7.838,,,,0.013571087471068265,390.64592000000005,0
1,,2387950.2,0,52.33,2.886,211.4051222,7.838,,,,0.013651514004557485,410.16254,0
1,,1367320.01,0,48.43,2.943,211.4049321,7.838,,,,0.013921151019725188,379.59434,0
1,2011-07-01,1444732.28,0,48.27,2.976,211.4047419,7.742,2011.0,7.0,26,0.014077262218320835,373.70634,0
1,,1391013.96,0,35.4,2.983,211.4574109,7.742,,,,0.014106859500440145,274.0668,0
